Article	language	programming	computer	software	hardware	data	player	online	system	development	machine	console	developer	design	history	technology	standard	information	article	example	
Compiler	80	22	20	15	7	4	0	0	15	21	21	0	0	21	3	5	0	7	2	12	
Information_security	5	3	21	29	6	34	0	1	19	7	2	0	1	8	1	16	8	219	2	5	
Java_(programming_language)	23	12	3	32	8	8	0	0	15	9	17	2	2	2	7	3	12	1	1	8	
History_of_programming_languages	47	67	11	6	6	1	0	0	9	5	8	0	6	8	13	2	0	2	0	2	
Computer_programming	28	51	41	47	6	13	0	1	15	17	8	0	1	8	6	1	0	9	0	7	
NetBeans	4	5	2	24	3	2	0	0	6	21	0	0	8	4	2	2	0	1	0	0	
Procedural_programming	3	52	2	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	1	3	
Logic_programming	15	106	3	1	1	2	0	0	4	4	8	0	0	2	2	0	3	0	0	11	
Software_development_methodology	2	14	5	87	0	4	0	0	12	88	0	0	1	13	1	5	5	10	1	2	
Logic	18	5	14	1	1	0	0	3	14	7	3	0	0	2	8	2	1	2	2	14	
Software_developer	3	28	24	37	0	1	0	1	8	5	2	0	8	6	1	2	1	2	2	5	
Scripting_language	67	11	4	5	0	2	0	0	9	3	3	0	1	0	1	0	2	1	2	3	
Algorithm	17	28	36	6	4	20	0	0	3	7	27	0	0	9	4	2	0	5	4	24	
Programming_paradigm	36	87	15	48	10	10	0	0	21	10	10	0	0	9	2	2	0	17	1	4	
Algorithmic_efficiency	9	17	22	25	8	31	0	0	11	3	3	0	0	4	0	2	0	9	1	8	
Computer_program	13	24	63	35	6	4	0	0	15	4	15	2	1	1	4	0	0	3	0	6	
Command_line	17	9	21	6	1	8	0	1	35	2	2	4	0	0	5	0	7	9	1	19	
Computing	9	17	84	78	18	16	0	1	25	8	6	0	2	8	6	13	3	32	0	3	
Computer_security	7	4	87	49	13	47	0	4	50	3	7	0	0	20	1	11	6	56	2	5	
Machine_code	19	3	13	0	0	5	0	0	2	0	42	0	0	3	0	0	0	0	0	5	
Text_editor	6	8	4	6	0	8	0	2	1	5	0	1	0	0	3	0	3	1	0	3	
Software_development	25	32	14	141	3	12	0	0	23	63	2	0	1	25	0	2	2	24	0	4	
Requirements_analysis	11	5	11	52	2	7	0	0	54	18	2	0	0	21	0	3	0	10	0	2	
Grace_Hopper	15	18	34	17	0	7	0	0	3	7	4	1	0	1	5	7	0	6	0	0	
Naming_conventions_(programming)	5	7	3	1	0	5	0	0	3	1	0	0	0	0	0	0	5	3	0	9	
Lisp_(programming_language)	44	27	14	1	3	26	0	0	23	6	12	0	0	4	18	5	10	4	2	12	
Assembly_language	100	23	18	9	9	28	0	3	21	7	29	0	0	5	1	0	2	2	0	18	
COBOL	38	37	23	3	2	80	0	1	6	12	0	4	0	7	9	3	26	6	1	24	
Software_engineering	7	12	25	149	3	4	0	1	16	21	3	0	0	11	2	4	2	16	0	1	
Functional_programming	23	92	7	1	0	15	0	0	2	6	2	0	0	3	1	1	3	3	3	12	
Operating_system	13	7	65	45	44	16	0	0	187	17	16	1	1	8	7	4	6	19	0	15	
Programming_style	3	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	
Agile_software_development	2	12	6	108	0	6	0	0	8	128	0	0	2	17	3	4	0	13	0	2	
Software_maintenance	6	7	8	87	2	8	0	2	12	11	2	0	1	9	1	2	1	9	0	4	
Performance_engineering	1	0	3	15	3	8	0	0	28	10	0	0	0	3	0	2	1	2	2	3	
Compiler_construction	80	22	20	15	7	4	0	0	15	21	21	0	0	21	3	5	0	7	2	12	
Virtual_machine	19	11	15	26	17	1	1	0	44	7	50	0	0	6	3	3	1	8	0	1	
List_of_programming_languages	32	31	1	0	0	2	0	0	3	0	1	0	0	0	2	0	0	0	0	0	
Analytical_Engine	2	5	18	5	4	4	0	2	3	1	11	0	0	6	11	2	0	1	0	1	
Test-driven_development	0	6	1	22	1	11	0	0	13	41	0	0	12	18	0	0	0	3	1	13	
Programming_language	142	172	26	5	11	22	2	1	13	5	11	0	0	11	5	0	9	3	1	17	
Model-driven_development	7	2	2	13	0	0	0	0	3	8	0	0	0	4	1	0	0	1	0	0	
Executable	8	0	2	1	0	2	0	0	5	1	9	0	0	0	0	0	0	0	1	3	
Profiling_(computer_programming)	2	1	1	5	4	9	0	0	4	0	4	0	1	0	1	0	1	8	1	3	
Build_automation	0	0	2	8	0	0	0	0	1	2	1	0	0	1	1	0	0	0	0	0	
Computer_science	13	41	162	59	13	27	0	0	15	10	10	0	0	17	9	9	0	41	3	4	
Control_flow	19	37	7	2	2	2	0	0	1	0	4	0	0	0	0	0	5	1	5	12	
Software_engineer	1	4	21	82	3	2	0	1	0	7	0	0	1	3	0	4	1	7	3	1	
Parallel_computing	3	27	47	12	14	15	0	3	15	0	3	0	0	1	2	4	6	4	3	10	
Software_design	28	12	11	103	4	9	0	0	14	13	2	0	0	212	1	4	1	19	0	3	
Waterfall_model	1	4	4	34	0	2	0	0	2	23	0	0	0	22	1	1	0	1	1	2	
Network_security	0	0	6	3	1	5	0	0	1	0	0	0	0	1	1	0	0	3	1	0	
Lean_software_development	0	0	1	26	0	1	0	0	10	36	0	0	1	4	0	1	0	3	0	2	
High-level_language	35	24	10	0	1	4	0	0	4	0	13	0	0	0	0	0	0	0	1	3	
Ada_Lovelace	3	2	23	2	0	1	0	0	0	2	10	0	0	1	8	2	1	0	5	1	
Source_code	16	14	14	32	1	3	0	0	6	0	10	0	0	0	2	0	0	6	2	7	
Software_construction	5	15	6	51	2	8	0	0	3	8	0	0	0	14	0	1	0	4	0	2	
Source_code_editor	1	3	1	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	2	0	
C_(programming_language)	45	41	4	3	3	25	0	0	20	5	3	0	4	1	4	0	49	3	2	15	
UML_tool	10	3	0	13	0	3	0	0	1	2	0	0	0	4	0	0	2	2	1	3	
Interpreter_(computing)	47	12	13	18	12	7	0	1	19	6	34	0	0	5	1	1	1	8	1	6	
Concurrent_computing	12	51	10	6	3	2	0	0	20	1	3	0	0	6	1	0	4	0	2	3	
Continuous_delivery	0	0	0	13	0	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	
Adaptive_software_development	0	0	1	11	0	0	0	0	0	8	0	0	0	2	0	1	0	0	0	0	
Debugging	3	6	10	21	6	1	0	0	19	1	0	0	0	2	1	0	1	3	6	8	
Maintainability	0	0	0	5	0	0	0	0	2	0	0	0	0	1	1	0	1	0	1	0	
Dynamic_systems_development_method	0	2	1	12	0	1	0	1	15	27	0	0	1	1	2	2	0	4	4	0	
Continuous_integration	0	2	1	13	0	0	0	0	10	7	0	0	4	3	1	1	0	0	2	0	
Charles_Babbage	1	3	7	0	0	4	0	1	1	2	8	0	0	5	6	3	1	2	1	0	
Software_framework	0	2	5	27	0	1	0	0	6	7	0	0	0	2	0	1	3	0	0	4	
Usability	2	2	4	9	1	10	0	3	39	9	1	0	0	71	0	0	4	17	0	6	
Software_deployment	1	3	8	64	1	2	0	0	19	9	1	0	0	2	1	1	0	3	0	4	
Decomposition_(computer_science)	0	2	4	2	0	3	0	0	7	0	0	0	0	2	0	0	0	1	0	2	
Software_bug	2	8	22	50	5	6	0	1	11	8	4	1	2	8	2	3	0	1	1	12	
Software_testing	16	18	9	231	4	30	0	0	48	52	5	0	5	24	1	1	6	21	1	9	
Software_quality	6	27	11	156	4	19	0	0	26	16	2	0	0	14	2	6	4	12	1	6	
Comment_(computer_programming)	15	26	3	3	0	3	0	0	2	3	0	0	1	1	0	1	3	2	1	19	
Scrum_(software_development)	1	6	4	34	0	3	0	1	0	55	0	0	2	7	1	2	2	3	2	5	
Pair_programming	0	17	0	4	0	0	0	1	1	2	0	0	0	4	0	0	0	2	0	0	
Object-oriented_programming	32	87	10	34	2	40	0	1	5	7	2	0	2	24	2	1	0	6	1	19	
Programming_tool	7	12	9	34	0	2	0	0	2	13	2	0	2	3	0	0	0	5	0	5	
Visual_Studio	28	11	2	13	0	21	0	2	17	34	4	1	19	8	2	4	8	2	0	1	
Engineering	1	0	14	13	1	3	0	1	3	15	8	0	0	34	12	7	3	9	1	8	
Visual_programming_language	59	65	1	15	1	16	0	3	13	6	3	0	0	7	0	0	0	2	1	1	
Xcode	2	5	1	6	0	0	0	1	2	6	1	0	13	0	7	1	0	0	0	0	
Compiled	80	22	20	15	7	4	0	0	15	21	21	0	0	21	3	5	0	7	2	12	
System_programming	8	17	1	2	4	1	0	0	8	0	0	0	0	0	1	0	0	0	0	2	
Software_portability	4	4	8	22	2	0	0	0	9	1	2	0	0	0	0	0	1	2	1	0	
Programming_language_theory	44	69	14	2	0	0	0	1	3	3	1	0	0	5	3	0	2	1	1	1	
Memory_leak	2	8	5	3	1	2	0	0	19	1	4	0	1	1	0	0	0	2	1	11	
Tic-tac-toe	0	0	5	0	0	0	42	0	0	0	0	0	0	1	1	0	0	2	1	2	
Video_arcade	0	0	0	0	1	1	7	0	2	1	7	3	0	0	7	3	0	0	0	1	
Xbox_One	2	2	1	21	18	4	3	3	15	3	0	45	3	15	3	1	0	1	0	0	
Action-adventure_game	0	1	0	0	0	0	8	4	1	0	0	0	1	1	1	0	0	0	0	0	
List_of_video_games_considered_among_the_best	0	1	12	2	0	0	2	5	1	1	0	4	0	4	0	0	0	0	0	0	
Casual_game	0	3	5	1	0	0	0	9	1	4	0	0	1	9	2	0	0	0	0	1	
Downloadable_content	0	0	1	1	0	0	0	8	1	2	0	3	0	0	1	0	1	0	0	3	
Xbox	0	0	0	14	1	1	2	12	15	3	0	36	2	0	4	0	1	3	1	0	
Video_game_graphics	1	2	16	2	3	0	10	0	2	1	0	1	0	3	2	2	0	0	0	2	
Early_history_of_video_games	0	5	33	2	3	1	1	2	5	4	1	3	1	0	22	8	0	0	0	1	
List_of_arcade_video_games	0	0	0	0	0	0	1	0	3	0	0	1	0	0	4	0	0	2	0	0	
Fallout_3	0	0	4	0	0	0	23	1	11	3	0	0	3	0	0	3	2	3	1	0	
Sound_effect	1	0	2	0	1	2	1	0	1	1	4	0	0	3	1	1	0	0	2	9	
List_of_best-selling_video_games	0	1	1	0	2	0	6	3	2	2	0	7	1	5	0	0	0	0	0	0	
Platform_game	0	1	3	3	3	0	16	5	5	2	0	13	3	4	2	2	3	0	1	3	
Survival_game	0	1	0	0	0	0	18	7	2	2	0	0	0	0	1	0	0	0	0	4	
Virtual_reality	6	3	12	17	5	4	1	1	19	9	2	4	0	6	3	10	0	12	0	0	
List_of_highest-grossing_video_game_franchises	0	0	0	1	3	0	2	2	2	0	0	5	0	0	0	0	0	0	0	0	
Atari_2600	0	0	7	3	8	1	2	0	15	7	1	27	1	8	5	5	1	0	0	1	
Game_programmer	9	27	6	4	5	0	1	0	4	18	0	0	4	14	2	7	1	0	0	8	
Handheld_electronic_game	0	0	1	0	0	0	4	0	2	0	1	4	0	1	1	0	0	0	0	0	
Turn-based_strategy	0	1	5	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	2	
Video_game_console	0	2	17	11	7	5	5	14	48	5	2	116	0	10	6	8	7	4	0	6	
Game_design	1	0	2	4	2	0	20	1	1	14	1	0	7	191	7	3	1	7	1	7	
Video_game_development	8	12	9	17	3	1	2	7	2	88	0	9	21	46	4	3	3	5	2	7	
Computer_graphics	2	0	158	19	11	18	1	0	11	8	1	2	2	14	7	6	3	12	0	8	
